"pid";"datahora";"mensagem"
12608;"2026-05-08 20:36:09";"Iniciando processo "
12608;"2026-05-08 20:36:09";"Estrutura de pastas construída! "
12608;"2026-05-08 20:36:10";"Iniciando processamento dos dados do TJMSP."
12608;"2026-05-08 20:36:10";"Processando dados do TJMSP"
12608;"2026-05-08 20:36:10";"Lendo arquivo./1)Extrai_Datamart_TJMSP.csv"
12608;"2026-05-08 20:36:24";"Encerrando processamento dos dados do TJMSP"
12608;"2026-05-08 20:36:24";"TJMSP processado em 14.63 seg."
12608;"2026-05-08 20:37:55";"Processando dados do TJMSP.csv"
12608;"2026-05-08 20:37:57";"Resumo do TJMSP gerado."
14580;"2026-05-08 20:38:05";"✅ Arquivo compactado: TJMSP"
12608;"2026-05-08 20:38:07";"Dados processados cpom sucesso!"
10196;"2026-05-08 20:46:03";"Registrando dados do(a) Justiça Militar Estadual"
10196;"2026-05-08 20:46:03";"Processando dados do TJMSP"
12488;"2026-05-08 20:46:03";"Registrando dados do(a) Justiça Militar Estadual"
10196;"2026-05-08 20:46:03";"Lendo arquivo1)Extrai_Datamart_TJMSP.csv"
12488;"2026-05-08 20:46:04";"Processando dados do TJMRS"
10984;"2026-05-08 20:46:04";"Registrando dados do(a) Justiça Militar Estadual"
12488;"2026-05-08 20:46:04";"Lendo arquivo1)Extrai_Datamart_TJMRS.csv"
10984;"2026-05-08 20:46:04";"Processando dados do TJMMG"
10984;"2026-05-08 20:46:04";"Lendo arquivo1)Extrai_Datamart_TJMMG.csv"
12488;"2026-05-08 20:46:10";"Encerrando processamento dos dados do TJMRS"
12488;"2026-05-08 20:46:10";"TJMRS processado em 6.3"
10984;"2026-05-08 20:46:13";"Encerrando processamento dos dados do TJMMG"
10984;"2026-05-08 20:46:13";"TJMMG processado em 9.22"
10196;"2026-05-08 20:46:13";"Encerrando processamento dos dados do TJMSP"
10196;"2026-05-08 20:46:13";"TJMSP processado em 9.97"
